Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
easom,PCO,N/A,N/A,N/A,index 20 is out of bounds for axis 0 with size 20
easom,GA,N/A,N/A,N/A,probabilities are not non-negative
easom,PSO,[3.14159265 3.14159266],-1.0,0.019475698471069336,
easom,SA,[0.5 0.5],-6.691939049188014e-07,0.001750946044921875,
easom,GOA,[3.10463255 3.10763137],-0.9962277395680349,1.5803120136260986,
easom,DA,[3.70353999 2.72552134],-0.474708712563993,0.33094191551208496,
easom,SSA,[3.14159266 3.14159268],-0.9999999999999992,0.046007394790649414,
easom,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
easom,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
goldstein_price,PCO,[-1.06185103e-04 -9.98639144e-01],3.0008324232500105,0.5750312805175781,
goldstein_price,GA,[2.71485001 0.80532105],426.44737175224105,0.2669656276702881,
goldstein_price,PSO,[-3.63124313e-09 -1.00000000e+00],2.999999999999927,0.023840904235839844,
goldstein_price,SA,[0.5 0.5],1210.6875,0.0018529891967773438,
goldstein_price,GOA,[ 0.14392651 -0.89090116],9.143284831863072,1.556093692779541,
goldstein_price,DA,[-0.24543654 -0.91706606],31.59887600270239,0.33272814750671387,
goldstein_price,SSA,[-8.40888061e-09 -1.00000009e+00],3.000000000003651,0.04812932014465332,
goldstein_price,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
goldstein_price,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
griewank,PCO,[0.00204996 0.01142809],1.155148809939277e-08,0.6261332035064697,
griewank,GA,[6.23593722 8.90384519],0.030738949353135592,0.31700682640075684,
griewank,PSO,[-4.93901387e-09  8.07923029e-09],0.0,0.06245732307434082,
griewank,SA,[0.5 0.5],0.176822380702647,0.003421306610107422,
griewank,GOA,[-3.17833833 -4.48332373],0.00863411329311059,1.6364960670471191,
griewank,DA,[3.31586486 4.91778572],0.07895116648636669,0.41095709800720215,
griewank,SSA,[3.22803467e-09 2.48609952e-08],1.1102230246251565e-16,0.09054207801818848,
griewank,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
griewank,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
hartmann_3,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_6,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
himmelblau,PCO,[2.99907091 1.999863  ],3.479329241095336e-05,0.5313334465026855,
himmelblau,GA,[2.97920034 2.03377742],0.021535090181387544,0.22317290306091309,
himmelblau,PSO,[-3.77931025 -3.28318599],1.8906257367515178e-22,0.01032114028930664,
himmelblau,SA,[0.5 0.5],144.125,0.0014386177062988281,
himmelblau,GOA,[3.00206854 1.99862865],0.00013363540744330203,1.5897681713104248,
himmelblau,DA,[1.57737079 2.66298378],36.994908902697055,0.32193422317504883,
himmelblau,SSA,[3.0000001  1.99999996],3.096829237274124e-13,0.03546285629272461,
himmelblau,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
himmelblau,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
matyas,PCO,[-0.01227998 -0.01600277],1.1463917976417423e-05,0.5241355895996094,
matyas,GA,[0.64262693 0.64262284],0.016518669691283128,0.22038483619689941,
matyas,PSO,[2.77504785e-10 3.27431154e-10],4.282635493451246e-21,0.009677648544311523,
matyas,SA,[0.5 0.5],0.010000000000000009,0.0014259815216064453,
matyas,GOA,[0.1328836  0.21096069],0.002706296825742636,1.5565578937530518,
matyas,DA,[-1.27515967 -1.13307462],0.06304296490610295,0.3293631076812744,
matyas,SSA,[1.15555237e-07 9.14538953e-08],5.737464756903457e-16,0.034751176834106445,
matyas,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
