Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
goldstein_price,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
goldstein_price,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
griewank,PCO,[0.00204996 0.01142809],1.155148809939277e-08,0.6681773662567139,
griewank,GA,[6.23593722 8.90384519],0.030738949353135592,0.3474857807159424,
griewank,PSO,[-4.93901387e-09  8.07923029e-09],0.0,0.05974936485290527,
griewank,SA,[0.5 0.5],0.176822380702647,0.0036444664001464844,
griewank,GOA,[-3.17833833 -4.48332373],0.00863411329311059,1.6976606845855713,
griewank,DA,[3.31586486 4.91778572],0.07895116648636669,0.39144325256347656,
griewank,SSA,[3.22803467e-09 2.48609952e-08],1.1102230246251565e-16,0.09277749061584473,
griewank,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
griewank,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
hartmann_3,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_3,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (3,) "
hartmann_6,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
hartmann_6,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (2,) (6,) "
himmelblau,PCO,[2.99907091 1.999863  ],3.479329241095336e-05,0.540799617767334,
himmelblau,GA,[2.97920034 2.03377742],0.021535090181387544,0.24523305892944336,
himmelblau,PSO,[-3.77931025 -3.28318599],1.8906257367515178e-22,0.010706663131713867,
himmelblau,SA,[0.5 0.5],144.125,0.0015370845794677734,
himmelblau,GOA,[3.00206854 1.99862865],0.00013363540744330203,1.6476380825042725,
himmelblau,DA,[1.57737079 2.66298378],36.994908902697055,0.34105443954467773,
himmelblau,SSA,[3.0000001  1.99999996],3.096829237274124e-13,0.03919267654418945,
himmelblau,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
himmelblau,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
matyas,PCO,[-0.01227998 -0.01600277],1.1463917976417423e-05,0.5448133945465088,
matyas,GA,[0.64262693 0.64262284],0.016518669691283128,0.2640998363494873,
matyas,PSO,[2.77504785e-10 3.27431154e-10],4.282635493451246e-21,0.01060175895690918,
matyas,SA,[0.5 0.5],0.010000000000000009,0.0014612674713134766,
matyas,GOA,[0.1328836  0.21096069],0.002706296825742636,1.6327266693115234,
matyas,DA,[-1.27515967 -1.13307462],0.06304296490610295,0.3424522876739502,
matyas,SSA,[1.15555237e-07 9.14538953e-08],5.737464756903457e-16,0.03859114646911621,
matyas,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
matyas,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
